inv_t4_u000485000Traces.dat : 1.453267,4.456447300000001,-1.2660461,10.2277379,1.5504739,12.2004579,-1.2241764,16.997311,0.0158965,0.0115654
inv_t4_u000490000Traces.dat : 1.4658859,4.549985100000001,-1.2722386,10.219541,1.5716367,12.1799723,-1.2382141,17.112626,0.0156656,0.0122739
inv_t4_u000495000Traces.dat : 1.4774843,4.6384167000000005,-1.2777679,10.2124914,1.588722,12.1629516,-1.2490734,17.2156929,0.0154684,0.0129045
inv_t4_u000500000Traces.dat : 1.4881359,4.7226155,-1.2824727,10.2066123,1.6025314,12.1490597,-1.2575276,17.3099012,0.0153059,0.0134428
inv_t4_u000520000Traces.dat : 1.5232349,5.0269098,-1.2956334,10.1910697,1.6359729,12.113643,-1.2771776,17.6311204,0.0149137,0.0148343
inv_t4_u000540000Traces.dat : 1.5492437,5.2963033,-1.3025052,10.1836164,1.6504057,12.0968315,-1.2859174,17.9043496,0.0148012,0.0155027
inv_t4_u000560000Traces.dat : 1.5690865,5.5446677,-1.3056544,10.1803837,1.656216,12.0890223,-1.2902663,18.1536615,0.0148366,0.0158425
inv_t4_u000580000Traces.dat : 1.584451,5.7796541999999995,-1.3066186,10.1792528,1.6578509,12.0856537,-1.2926008,18.3889779,0.0149405,0.0160232
inv_t4_u000600000Traces.dat : 1.5965892,6.005755200000001,-1.3063074,10.1790745,1.6575122,12.0844419,-1.2939218,18.6152333,0.0150738,0.016123
inv_t4_u000620000Traces.dat : 1.6062143,6.225682799999998,-1.3052989,10.1792577,1.6562689,12.0842062,-1.2946742,18.8352482,0.0152164,0.0161798
inv_t4_u000640000Traces.dat : 1.6139208,6.4411872,-1.3039651,10.1795065,1.654764,12.0843867,-1.2951344,19.0507541,0.0153631,0.0162123
inv_t4_u000660000Traces.dat : 1.6201,6.653413299999999,-1.3025877,10.1797047,1.6532548,12.0846836,-1.2954158,19.2629002,0.0155103,0.0162324
inv_t4_u000680000Traces.dat : 1.6250731,6.863118199999999,-1.3013427,10.1798374,1.6519114,12.0849857,-1.2956352,19.4724824,0.01565,0.016245
inv_t4_u000700000Traces.dat : 1.6290773,7.070844599999999,-1.3003796,10.1799248,1.6508051,12.0852459,-1.2957529,19.6801069,0.0157749,0.0162569
inv_t4_u000720000Traces.dat : 1.6323002,7.2769601999999995,-1.2996822,10.1800357,1.649952,12.085472,-1.2958808,19.8861831,0.0158789,0.0162677
inv_t4_u000740000Traces.dat : 1.6349055,7.481763899999999,-1.2992127,10.1801956,1.6492956,12.085649,-1.2960025,20.0910367,0.015961,0.0162772
inv_t4_u000760000Traces.dat : 1.6370207,7.685488100000001,-1.2988522,10.1804342,1.6488011,12.0857938,-1.2961196,20.2949196,0.016024,0.0162839
inv_t4_u000780000Traces.dat : 1.6387426,7.888378699999999,-1.2985146,10.1807143,1.6483773,12.0859046,-1.29622,20.498042,0.0160741,0.0162863
inv_t4_u000800000Traces.dat : 1.6401285,8.0906088,-1.2981448,10.1809907,1.6479358,12.0859509,-1.2964128,20.7004933,0.0161163,0.0162803
inv_t4_u000820000Traces.dat : 1.6412324,8.2923582,-1.2977256,10.1812397,1.6474095,12.08595,-1.2966119,20.9024576,0.0161546,0.0162733
inv_t4_u000840000Traces.dat : 1.6421588,8.493774,-1.2973219,10.1814263,1.646843,12.0858972,-1.296901,21.1040005,0.0161885,0.0162668
inv_t4_u000860000Traces.dat : 1.6429087,8.6949659,-1.2969322,10.1815635,1.6462992,12.0858529,-1.297266,21.3052603,0.01622,0.0162619
inv_t4_u000880000Traces.dat : 1.6434833,8.8959173,-1.2966719,10.1816226,1.6459378,12.0857418,-1.2978159,21.5061638,0.0162434,0.0162516
inv_t4_u000900000Traces.dat : 1.6439589,9.0963911,-1.296492,10.1816482,1.6459669,12.085389,-1.2985559,21.7064989,0.0162608,0.0162337
inv_t4_u000920000Traces.dat : 1.6443676,9.297361800000001,-1.2963827,10.1816374,1.6460211,12.0857066,-1.2995725,21.9072178,0.0162786,0.0161998
inv_t4_u000940000Traces.dat : 1.644677,9.4978933,-1.2963328,10.1816188,1.6462474,12.0858556,-1.3009894,22.1073795,0.0162899,0.0161532
inv_t4_u000960000Traces.dat : 1.6449183,9.698331099999999,-1.2963162,10.1815971,1.6462936,12.0860834,-1.3029389,22.3072737,0.016299,0.0160948
inv_t4_u000980000Traces.dat : 1.6451363,9.8986865,-1.296319,10.1815764,1.6460998,12.0862909,-1.3055974,22.5068526,0.0163063,0.016022
inv_t4_u002000000Traces.dat : 99.7756185,14.818604399999998,-1.2964904,10.1813745,1.6459627,12.0859555,-99.9419525,24.9999942,0.014365,0.0077671
